Year, Month, Precipitation, Grain Height, Num Deer, Num Cougar
2024, 0, 0.000000, 0.000001, 10, 2
2024, 1, 10.820172, 0.000000, 9, 3
2024, 2, 13.989315, 0.000000, 6, 2
2024, 3, 11.585760, 0.000000, 3, 1
2024, 4, 12.315559, 0.000000, 0, 0
2024, 5, 8.768795, 0.000062, 0, 0
2024, 6, 5.962569, 0.000065, 0, 0
2024, 7, 2.810963, 0.000430, 0, 0
2024, 8, 2.869225, 0.000489, 0, 0
2024, 9, 2.073633, 0.295976, 0, 0
2024, 10, 3.185234, 7.709702, 0, 0
2024, 11, 4.418634, 11.624400, 1, 0
2025, 0, 9.769622, 18.409538, 2, 1
2025, 1, 10.846418, 28.203300, 1, 0
2025, 2, 11.230790, 34.019341, 2, 1
2025, 3, 11.668583, 32.019390, 3, 0
2025, 4, 12.599090, 29.019470, 4, 1
2025, 5, 7.737041, 25.019470, 5, 2
2025, 6, 5.544234, 20.019470, 6, 1
2025, 7, 4.648459, 14.019556, 7, 2
2025, 8, 2.289876, 7.099153, 8, 3
2025, 9, 2.284100, 0.000000, 7, 2
2025, 10, 4.323476, 0.489431, 6, 3
2025, 11, 4.856921, 2.550180, 5, 2
2026, 0, 10.229021, 5.066500, 2, 1
2026, 1, 13.039948, 13.212017, 1, 0
2026, 2, 11.139778, 13.336898, 2, 1
2026, 3, 13.448462, 11.622869, 1, 0
2026, 4, 10.638212, 10.622869, 0, 1
2026, 5, 6.633007, 10.623787, 1, 0
2026, 6, 3.699469, 9.623790, 0, 1
2026, 7, 4.639896, 9.625904, 1, 0
2026, 8, 2.608124, 8.626016, 0, 1
2026, 9, 1.363486, 10.654683, 0, 0
2026, 10, 3.798353, 17.950283, 0, 0
2026, 11, 6.117982, 28.182243, 1, 0
2027, 0, 6.710036, 37.766972, 2, 1
2027, 1, 12.969980, 44.649807, 3, 0
2027, 2, 13.679364, 41.692886, 2, 1
2027, 3, 13.749693, 39.827141, 3, 0
2027, 4, 10.658835, 36.827156, 2, 1
2027, 5, 7.216811, 34.827156, 3, 0
2027, 6, 6.967386, 31.827160, 4, 1
2027, 7, 2.078708, 27.827160, 5, 2
2027, 8, 2.777935, 22.970926, 4, 1
2027, 9, 1.951124, 20.519569, 5, 2
2027, 10, 3.111919, 16.309570, 4, 1
2027, 11, 6.881793, 21.713921, 3, 2
2028, 0, 10.248794, 30.673195, 4, 1
2028, 1, 12.501708, 36.409801, 5, 2
2028, 2, 14.439444, 31.730377, 6, 1
2028, 3, 11.658855, 25.754953, 7, 2
2028, 4, 12.923153, 18.754953, 8, 3
2028, 5, 10.077164, 10.755314, 7, 2
2028, 6, 5.174899, 3.755314, 6, 3
2028, 7, 1.881597, 0.000000, 3, 2
2028, 8, 0.434276, 0.000000, 0, 1
2028, 9, 0.108871, 0.678416, 0, 0
2028, 10, 1.862297, 6.857389, 0, 0
2028, 11, 5.113092, 16.003366, 1, 0
2029, 0, 10.180130, 23.446583, 2, 1
2029, 1, 9.746942, 32.931744, 3, 0
2029, 2, 13.837456, 31.113712, 2, 1
2029, 3, 14.535571, 29.113764, 1, 0
2029, 4, 10.775393, 28.113771, 2, 1
2029, 5, 8.027569, 26.113771, 3, 0
2029, 6, 4.376132, 23.113808, 4, 1
2029, 7, 1.735010, 19.113823, 5, 2
2029, 8, 2.133039, 14.347179, 6, 1
2029, 9, 2.378326, 12.267845, 5, 2
2029, 10, 3.737644, 15.315155, 6, 1
2029, 11, 7.247503, 15.342945, 7, 2
